code,Area Name,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other religions and persuasions (incl.Unclassified Sect.),Religion not stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Andhra Pradesh,84580777,74824149,8082412,1129784,40244,36692,53849,9547,404100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uttarakhand,,,,Uttarakhand,,,Uttarakhand,,,Uttarakhand
28,Karnataka,61095297,51317472,7893065,1142647,28773,95710,440280,11263,166087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagaland,,,,Haryana,,,Haryana,,,Nagaland
29,Goa,1458545,963877,121564,366130,1473,1095,1109,258,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manipur,,,,Delhi ,,,Delhi ,,,Manipur
30,Lakshadweep,64473,1788,62268,317,8,10,11,7,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mizoram,,,,Rajasthan,,,Rajasthan,,,Mizoram
31,Kerala,33406061,18282492,8873472,6141269,3814,4752,4489,7618,88155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tripura,,,,Uttar Pradesh ,,,Uttar Pradesh ,,,Tripura
32,Tamil Nadu,72147030,63188168,4229479,4418331,14601,11186,89265,7414,188586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meghalaya,,,,Bihar,,,Bihar,,,Meghalaya
33,Puducherry,1247953,1089409,75556,78550,297,451,1400,168,2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab,,,,Sikkim,,,Sikkim,,,Punjab
34,Andaman and Nicobar,380581,264296,32413,80984,1286,338,31,564,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajasthan,,,,Arunachal Pradesh  ,,,Arunachal Pradesh  ,,,Rajasthan
35,Telangana,35145632,29908931,4463495,456893,0,0,0,316310.688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gujarat,,,,Nagaland  ,,,Nagaland  ,,,Gujarat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Himachal Pradesh,,,,Manipur  ,,,Manipur  ,,,Himachal Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jammu and Kashmir,,,,Mizoram  ,,,Mizoram  ,,,Jammu and Kashmir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bihar,,,,Tripura  ,,,Tripura  ,,,Bihar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uttar Pradesh,,,,Meghalaya  ,,,Meghalaya  ,,,Uttar Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andhra Pradesh,,,,Assam  ,,,Assam  ,,,Andhra Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha,,,,West Bengal  ,,,West Bengal  ,,,Odisha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,Jharkhand  ,,,Jharkhand  ,,,Dadra and Nagar Haveli and Daman and Diu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharashtra,,,,Odisha  ,,,Odisha  ,,,Maharashtra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goa,,,,Chhattisgarh  ,,,Chhattisgarh  ,,,Goa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karnataka,,,,Madhya Pradesh  ,,,Madhya Pradesh  ,,,Karnataka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala,,,,Gujarat  ,,,Gujarat  ,,,Kerala
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puducherry,,,,Daman and Diu  ,,,Daman and Diu  ,,,Puducherry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamil Nadu,,,,Dadra and Nagar Haveli  ,,,Dadra and Nagar Haveli  ,,,Tamil Nadu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakshadweep,,,,Maharashtra  ,,,Maharashtra  ,,,Lakshadweep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andaman and Nicobar,,,,Andhra Pradesh  ,,,Andhra Pradesh  ,,,Andaman and Nicobar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jharkhand,,,,Karnataka  ,,,Karnataka  ,,,Jharkhand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi,,,,Goa  ,,,Goa  ,,,Delhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chandigarh,,,,Lakshadweep  ,,,Lakshadweep  ,,,Chandigarh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madhya Pradesh,,,,Kerala  ,,,Kerala  ,,,Madhya Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chhattisgarh,,,,Tamil Nadu  ,,,Tamil Nadu  ,,,Chhattisgarh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haryana,,,,Puducherry  ,,,Puducherry  ,,,Haryana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telangana,,,,Andaman and Nicobar Islands  ,,,Andaman and Nicobar Islands  ,,,Telangana
